page_title	class	page_len	rev_id	prediction	weighted_sum
Overkill_(band)	C	38086	718947073	B	2.652086164068224
Paul_David_Wilson	C	34800	715754140	B	2.7381336532483362
Plan_B_(musician)	C	26064	718642895	GA	3.6329532076933315
Pseudo_Echo	C	27924	710666253	GA	3.651711753751369
Queen_Latifah	C	48274	718779476	GA	3.828929028713648
Renée_Chen	C	11424	708074032	C	2.2836772097114606
Rihanna	C	173240	718206804	B	3.657790102106575
Roxus	C	8163	694851654	GA	3.0512132031407955
Rush_(band)	C	94505	719436230	B	3.3172863585725434
Ruslana	C	63923	717070403	FA	4.3993047619276755
Russ_Conway	C	8654	716070389	C	2.3931243323048426
Ryan_Tedder	C	34928	718003714	GA	3.6979414511979116
SHeDAISY	C	15681	710499264	C	2.548066215218961
Sally_Seltmann	C	33107	711309400	GA	4.041773449852744
Slađa_Guduraš	C	9697	717629622	C	2.0318029419768644
Snoop_Dogg	C	88963	719323705	B	3.5076187984283567
Steve_Aoki	C	34415	718802606	B	3.1068676383056584
Steve_Burns	C	12196	719342800	C	2.3167818314959345
Steve_Earle	C	30223	717674733	B	3.269009155154939
Stoneground	C	14408	688759985	GA	3.303580180256923
Susanna_Hoffs	C	20816	718820262	C	2.7374315583378053
The_Dave_Clark_Five	C	18208	719144554	C	2.8584985802130305
The_Fab_Four_(tribute)	C	14782	712314104	C	2.5639022741559807
The_New_Seekers	C	31237	719302116	GA	3.1839379845863487
The_Philisteins	C	13045	681078646	GA	3.185479331336256
The_Weakerthans	C	14435	714691295	C	2.252160679845095
Third_World_(band)	C	20606	715249850	B	3.1575721159695713
Uee	C	28314	718357919	C	2.5600954183579647
VIXX	C	48254	719328391	GA	3.8721413270682996
Victor_Aloysius_Meyers	C	13821	718858749	C	2.7005226711756762
You_Am_I	C	70000	711176268	FA	4.416409125081721
Zak_Starkey	C	17548	719400434	C	2.303656118116462
Zameer_Rizvi	C	20144	717481942	GA	3.562581667773353
2AM_(band)	B	23111	719156672	GA	3.4761480837227436
Amanda_Lear	B	52364	717533978	FA	4.221170150955868
Antoine_de_Bertrand	B	6388	706563049	Start	1.4997046356161072
Ashley_Alexandra_Dupré	B	36707	713315701	B	3.0496727362280014
At_the_Drive-In	B	36930	714381972	GA	3.480997854805235
Bobby_Darin	B	31760	717562329	C	2.5575095688443525
Bradley_Nowell	B	22037	719323874	C	2.412825415771448
Buck_Clayton	B	11781	705069680	C	2.3663202330037176
Bugge_Wesseltoft	B	11139	705956733	C	2.2273693998198496
Carmino_Ravosa	B	16852	715906636	GA	3.364870439127992
Charlie_McMahon	B	32382	705401895	B	2.772172689080311
Charlie_Owen_(musician)	B	37231	715302980	GA	3.83787760748515
Chicane_(musician)	B	34712	714725071	GA	3.5602576446776433
Claudio_Saracini	B	3082	705087856	Start	1.01505989930104
Conlon_Nancarrow	B	18006	703199437	C	2.368849011944655
Daniel_Alomía_Robles	B	17449	719393293	GA	3.410950633970694
Death_Angel	B	29096	719450944	C	2.4013264347737002
Diana_Haddad	B	43039	718429300	B	2.9537008664747
Do_As_Infinity	B	25480	715206231	C	2.8203206889109382
Donna_Summer	B	69341	718749466	B	3.1371368077685005
Five_(band)	B	27147	707617683	C	2.4894408812364746
Florin_Salam	B	17434	717666082	C	2.705305860345096
Francesco_Rovigo	B	4441	714556370	Start	1.4780276563830421
Francisco_Tárrega	B	11634	708819407	C	2.2932478809999792
Franz_Schubert	B	72304	716360275	B	3.6587534819426812
François-Adrien_Boieldieu	B	7062	717753089	C	1.8665711956519573
Frederick_Bridge	B	17984	719323105	GA	3.6715491825540547
Giovanni_Girolamo_Kapsperger	B	10394	707242928	C	2.195571085997299
Glenn_Miller	B	76201	719044778	FA	4.518832033949671
Graeme_Bell	B	21401	715787737	GA	3.656156355670925
H._C._Robbins_Landon	B	19828	702890927	GA	3.9169164312205593
Henriette_Widerberg	B	14236	712731458	C	2.4571039751356856
Hovercraft_(band)	B	16129	704282415	C	2.3660677673021278
Humble_Pie_(band)	B	33026	711878004	C	2.760526070278808
JBO_(band)	B	4863	671926259	Start	1.2830055738826878
Jackie_Brenston	B	4246	708772689	Start	1.1426835820579058
Jaime_Nunó	B	4819	703420957	Start	1.3374428241300305
James_Jamerson	B	16601	715716800	C	2.4158778588807195
Jason_Castro_(singer)	B	22804	719022693	C	2.4918171334340458
Jedward	B	43009	717963978	GA	3.9941765122611557
Jessica_Simpson	B	85422	717787555	B	3.5958801915079297
Joan_Baez	B	79706	719122569	B	3.1751169515837345
Joe_Zawinul	B	19121	709649304	C	2.353703531959268
John_Coltrane	B	50308	718491094	B	3.1577700681649454
Juan_Diego_Flórez	B	20242	699587092	B	2.5538580303398306
Julian_Hamilton	B	14062	708615044	GA	3.516891143666504
Kansas_(band)	B	40784	719308211	C	2.512012049172078
Klaxons	B	37155	709800136	GA	4.122641287936514
Lea_Salonga	B	65333	719356573	GA	4.209623709750767
Les_Paul	B	76501	719081871	B	3.1786186917750214
Lionel_Richie	B	27669	717760696	C	2.4821235686280683
Little_River_Band	B	76158	717870315	FA	4.487013896677331
Louis-Désiré_Véron	B	3651	710258978	Start	1.3248193230333023
Luciano_Pavarotti	B	44036	713873511	B	2.81284876367556
Lydia_Canaan	B	56954	718972584	FA	4.483238256709315
Madeline_Bell	B	8387	717354045	C	2.2213605751650745
Mandawuy_Yunupingu	B	42178	703204894	GA	3.77313112482917
Marcel_Khalife	B	21382	708246898	C	2.3376269426886873
Mark_Lanegan	B	41067	708270934	FA	4.438291708616486
Max_Boyce	B	22048	718845106	C	2.9493627540902017
Mikhail_Glinka	B	19734	707864078	C	2.7784983896224356
Milli_Vanilli	B	20140	718680600	C	2.333984919061235
Mo_Foster	B	23713	710921149	B	2.8145470021529237
Neal_Hefti	B	28336	703884260	C	2.6327253934481476
Nicolas_Payen	B	5708	712278927	Start	1.7721370789384483
Odetta	B	26922	719072443	B	2.8832685159308884
Phiiliip	B	12940	714373994	B	2.4147602597080433
Philip_Oakey	B	24626	719090807	C	2.406115743236971
Pierre_Cadéac	B	4815	712072118	Start	1.5786839904974106
Pietro_Aron	B	5619	703397456	Start	1.2903423209743807
Plácido_Domingo	B	85641	718123290	B	3.527375630746044
Ringo_Starr_&_His_All-Starr_Band	B	58362	717982689	GA	3.7909541456266904
Sandie_Shaw	B	21330	717593310	C	2.423034042713679
Sarah_Harding	B	32840	717257025	GA	3.697324133337717
Shannon_Noll	B	45421	716398622	B	3.30766843496946
